ver_format,fmt_opt,app,ver_app,device_id,tick,date,time,device,s_0,s_1,s_2,s_3,s_d0,s_d1,s_d2,s_t0,s_h0,gps_lat,gps_lon,gps_fix,gps_num,gps_alt
3,1,AirBox,0.35.2,74DA38C7D01A,1513792578,2017-12-21,01:56:18,中壢區普仁國小,547,100,1,0,7,9,4,16,66,24.948,121.244,1,9,2
3,1,AirBox,0.35.2,74DA38C7D01A,1513793300,2017-12-21,02:08:20,中壢區普仁國小,549,100,1,0,7,9,5,16,66,24.948,121.244,1,9,2
3,1,AirBox,0.35.2,74DA38C7D01A,1513795465,2017-12-21,02:44:25,中壢區普仁國小,555,100,1,0,9,12,6,16,67,24.948,121.244,1,9,2
3,1,AirBox,0.35.2,74DA38C7D01A,1513795827,2017-12-21,02:50:27,中壢區普仁國小,556,100,1,0,8,11,6,15.87,67,24.948,121.244,1,9,2
3,1,AirBox,0.35.2,74DA38C7D01A,1513796913,2017-12-21,03:08:33,中壢區普仁國小,559,100,1,0,10,13,7,15.75,67,24.948,121.244,1,9,2
3,1,AirBox,0.35.2,74DA38C7D01A,1513798357,2017-12-21,03:32:37,中壢區普仁國小,563,100,1,0,12,15,8,15.87,67,24.948,121.244,1,9,2
3,1,AirBox,0.35.2,74DA38C7D01A,1513799806,2017-12-21,03:56:46,中壢區普仁國小,567,100,1,0,10,14,8,15.87,67,24.948,121.244,1,9,2
3,1,AirBox,0.35.2,74DA38C7D01A,1513800528,2017-12-21,04:08:48,中壢區普仁國小,569,100,1,0,11,14,8,15.87,67,24.948,121.244,1,9,2
3,1,AirBox,0.35.2,74DA38C7D01A,1513800891,2017-12-21,04:14:51,中壢區普仁國小,570,100,1,0,12,16,8,15.87,67,24.948,121.244,1,9,2
3,1,AirBox,0.35.2,74DA38C7D01A,1513802336,2017-12-21,04:38:56,中壢區普仁國小,574,100,1,0,12,17,8,15.75,67,24.948,121.244,1,9,2
3,1,AirBox,0.35.2,74DA38C7D01A,1513803059,2017-12-21,04:50:59,中壢區普仁國小,576,100,1,0,15,19,10,15.75,67,24.948,121.244,1,9,2
3,1,AirBox,0.35.2,74DA38C7D01A,1513804144,2017-12-21,05:09:04,中壢區普仁國小,579,100,1,0,19,24,14,15.75,68,24.948,121.244,1,9,2
3,1,AirBox,0.35.2,74DA38C7D01A,1513805234,2017-12-21,05:27:14,中壢區普仁國小,582,100,1,0,20,24,15,15.62,68,24.948,121.244,1,9,2
3,1,AirBox,0.35.2,74DA38C7D01A,1513807046,2017-12-21,05:57:26,中壢區普仁國小,587,100,1,0,23,27,16,15.75,68,24.948,121.244,1,9,2
3,1,AirBox,0.35.2,74DA38C7D01A,1513809582,2017-12-21,06:39:42,中壢區普仁國小,594,100,1,0,21,25,14,15.75,65,24.948,121.244,1,9,2
